"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0183252701","EPISCOPAL COMMUNITY SVCS OF S F INC","62789.28","2021-10-07","000053918901","1000011165","DPH Public Health"
"0192084601","EPISCOPAL COMMUNITY SVCS OF S F INC","7939.1","2021-12-22","000053918901","1000011165","DPH Public Health"
"0201625901","EPISCOPAL COMMUNITY SVCS OF S F INC","0.97","2022-03-11","000053918901","1000011165","DPH Public Health"
"0189928901","CENTER HARDWARE CO INC","10.86","2021-12-03","000053919001","","REC Recreation & Park Commsn"
"0193889901","JENSSEN SCALES INC","2540","2022-01-24","000053919201","","MTA Municipal Transprtn Agncy"
"0177272401","CENTER HARDWARE CO INC","134.41","2021-08-13","000053919401","","REC Recreation & Park Commsn"
"0179130101","CENTER HARDWARE CO INC","184.11","2021-09-01","000053919401","","REC Recreation & Park Commsn"
"0183592101","CENTER HARDWARE CO INC","23.41","2021-10-12","000053919401","","REC Recreation & Park Commsn"
"0187502101","BAIN CAPITAL CREDIT LP","7430.77","2021-11-15","000053919601","1000007092","RET Retirement System"
"0175442301","OFFICE RELIEF INC","176.13","2021-08-16","000053919901","","MTA Municipal Transprtn Agncy"
"0186364101","STAPLES BUSINESS ADVANTAGE","74.63","2021-11-04","000053920101","1000018782","ADM GSA - City Administrator"
"0199226601","STAPLES BUSINESS ADVANTAGE","1.34","2022-02-23","000053920101","1000018782","ADM GSA - City Administrator"
"0211621701","STAPLES BUSINESS ADVANTAGE","68.54","2022-06-01","000053920101","1000018782","ADM GSA - City Administrator"
"0184112201","HARRISON & BONINI INC","299.86","2021-10-21","000053920301","1000006824","MTA Municipal Transprtn Agncy"
"0201081001","HARRISON & BONINI INC","218.55","2022-03-18","000053920301","1000006824","MTA Municipal Transprtn Agncy"
"0195503601","EBP US INC","15452.66","2022-01-26","000053920401","1000019310","AIR Airport Commission"
"0208069101","A C TRANSIT","46973.19","2022-05-12","000053920501","","MTA Municipal Transprtn Agncy"
"0182168901","SIEMENS INDUSTRY INC","5348","2021-09-27","000053920701","1000003116","LIB Public Library"
"0208816601","SIEMENS INDUSTRY INC","5348","2022-05-09","000053920701","1000003116","LIB Public Library"
"0184297601","OFFICE DEPOT","68.56","2021-10-18","000053920801","","DPH Public Health"
"0193057201","OFFICE DEPOT","10.86","2022-01-03","000053920801","","DPH Public Health"
"0195348301","OFFICE DEPOT","428.74","2022-01-25","000053920801","","DPH Public Health"
"0204039501","OFFICE DEPOT","21.48","2022-03-29","000053920801","","DPH Public Health"
"0185407501","SIEMENS INDUSTRY INC","19222","2021-10-26","000053921101","1000003114","LIB Public Library"
"0186973701","OFFICE DEPOT","286.88","2021-11-10","000053921201","","DPH Public Health"
"0194316001","OFFICE DEPOT","131.26","2022-01-14","000053921201","","DPH Public Health"
"0195669801","OFFICE DEPOT","201.31","2022-02-01","000053921201","","DPH Public Health"
"0209647701","OFFICE DEPOT","567.12","2022-05-16","000053921201","","DPH Public Health"
"0175341401","INTERNATIONAL FIRE INC","24.21","2021-07-29","000053921301","1000001575","ADM GSA - City Administrator"
"0176011601","INTERNATIONAL FIRE INC","24.21","2021-08-04","000053921301","1000001575","ADM GSA - City Administrator"
"0179056801","INTERNATIONAL FIRE INC","290.46","2021-08-31","000053921301","1000001575","ADM GSA - City Administrator"
"0181359801","INTERNATIONAL FIRE INC","141.24","2021-09-21","000053921301","1000001575","ADM GSA - City Administrator"
"0185654701","INTERNATIONAL FIRE INC","333.3","2021-10-28","000053921301","1000001575","ADM GSA - City Administrator"
"0189979301","INTERNATIONAL FIRE INC","430.13","2021-12-06","000053921301","1000001575","ADM GSA - City Administrator"
"0192834201","INTERNATIONAL FIRE INC","508.31","2021-12-30","000053921301","1000001575","ADM GSA - City Administrator"
"0196615501","INTERNATIONAL FIRE INC","48.41","2022-02-04","000053921301","1000001575","ADM GSA - City Administrator"
"0200752701","INTERNATIONAL FIRE INC","290.45","2022-03-03","000053921301","1000001575","ADM GSA - City Administrator"
"0202132801","INTERNATIONAL FIRE INC","23.54","2022-03-15","000053921301","1000001575","ADM GSA - City Administrator"
"0205017901","INTERNATIONAL FIRE INC","235.39","2022-04-06","000053921301","1000001575","ADM GSA - City Administrator"
"0207349501","INTERNATIONAL FIRE INC","467.47","2022-04-26","000053921301","1000001575","ADM GSA - City Administrator"
"0208953901","INTERNATIONAL FIRE INC","566.14","2022-05-10","000053921301","1000001575","ADM GSA - City Administrator"
"0211595201","INTERNATIONAL FIRE INC","72.61","2022-06-01","000053921301","1000001575","ADM GSA - City Administrator"
"0214506701","INTERNATIONAL FIRE INC","145.23","2022-06-21","000053921301","1000001575","ADM GSA - City Administrator"
"0187759101","CALPINE ENERGY SERVICES LP","75000","2021-11-17","000053921401","1000020547","PUC Public Utilities Commsn"
"0209418001","CALPINE ENERGY SERVICES LP","225000","2022-05-13","000053921401","1000020547","PUC Public Utilities Commsn"
"0204315601","LIVABLE CITY","14887.16","2022-04-08","000053921501","1000002656","DPH Public Health"
"0194029001","City of Roseville","83070","2022-01-12","000053921601","1000020519","PUC Public Utilities Commsn"
"0180791401","Exelon Generation Company LLC","93750","2021-09-16","000053922001","1000018019","PUC Public Utilities Commsn"
"0198566401","OFFICE DEPOT","47.77","2022-02-17","000053922101","","DPH Public Health"
