"server_id","cpu_usage","cost","vm_category","core_bucket","memory_bucket","max_cpu","p95_max_cpu","timestamp_vm_created","timestamp_vm_deleted"
"QRh7LxeeD39nw+CL8/JAUJDX8MxXrXHAAlBwbepIMWKpWh58R8gRLI/8TpkdEaGW","34.77","600","Unknown","2","8","89.53","89.53","2434200","2435700"
"8j5ClAq5sp45kOP8iLFLjopPzNZvpECQlogeYgHciS/dyOKYS9xJ38zxE0APs3w9","38.7","500","Unknown","2","4","95.74","94.71","884100","919800"
"cYY3PEp0P9uPOMLFhJ6UWbfrnPB3DEkU0IEvqeMPpNLniQyQxywR9cXMNugGigWA","0.08","1600","Unknown","4","32","1.15","1.15","32700","33300"
"az9PsmT1Uf7lNht47EN816B/J4Y3BNmeDpo5Mh0L8X4wb+Gz8CCfhzCSHI5RGJ7A","0.91","2400","Unknown","8","32","60.38","33.79","296700","304800"
"Fle8fF5UEp0+mdLCQMsW+8KD/1xZnk5ESv/hSiII2ORNdWf3xGrvyG6n9Z3VMtlO","1.73","500","Unknown","2","4","44.91","7.9","1743000","1795200"
"6Zyr7FUokfBg5YTrnyoleGSzTmKaOdGZEhK/eO5ihUwkZTWyLcGUt5MZFKuYN8h3","14.64","2400","Unknown","8","32","43.59","34.66","290100","358200"
"fgQvtWP/1EYOwZzguk4ZP4jn1QenKIHdah/Ccc16Jj4bmmmvqI/FjUX9+Ca6WT/M","15.44","600","Unknown","2","8","97.93","97.6","512400","556500"
"5bqykqRdMSurCYwSMHTsXbh57UW+Keev5TplHHe+E7iKN9U/tasbuSRWU3yw+fKT","2","600","Unknown","2","8","15.09","15.09","1765200","1766100"
"lZXO17jskcWJDqfHy9pbM8IKCPZ8W8ZMfy+DR2a9MihEyVkkPysh1AMhx14+ZeEf","0.44","450","Unknown","2","2","0.59","0.59","1895700","1895700"
"TffdsjqJeyWIHFSXrmfh2inhrBUbI7X4jmM536aJO/mnx0+kRnKe+oI3LAPd0f7d","10.91","600","Unknown","2","8","38.94","38.94","318000","318600"
"scnE2BWRIi8o37/RKlpDqp8WB1DoIA4fUUJKa5yDpO1KLNQNjMRrQyF5hx3XRk0X","9.14","600","Unknown","2","8","77.61","77.61","2032800","2034300"
"9oFtMxy31ULpbrEBlt+0IVnxkpPTJPOgkMkY6vhSkri5V7fDFpbBurhIZu0MPCf7","2.88","1600","Unknown","4","32","48.37","33.81","2474400","2483400"
"xfK9WBgi3GbHoQq/nxISaHqmcFf5qgkXNxvwBJN5o5aCGLL8SuYQj/njMoUFPp+M","75.95","600","Unknown","2","8","98.52","98.31","270600","302700"
"tyrcYsQSU06G+2RJ8f/RZoZpa/f9/h63/iXSWQTvdlWEzWeLtLUjgrgGUTGfYptv","13.01","600","Unknown","2","8","49.73","49.73","220800","221400"
"kAo1lINehy9aH4RlE01mUsoAoFHN9xqEcAvBI1+6QJUdi/inY6BgioIsx6fiLeW+","3.85","450","Interactive","2","2","97.76","10.23","0","2591400"
"PAvGJS3Syde9rRWGB1dCCWAkqcTrb8Dmhc8d3bNxb9QT0V1i5y/vFaez8yHjiC0g","10.8","450","Unknown","2","2","93.02","93.02","2544300","2547300"
"PXeBF0rxg8L1jAjC06hnpYAW5S/Gzuk9Wr+ZJNV6C/AcWN+sIeCUCNoRjfOeHnCh","8.08","450","Unknown","2","2","68.58","54.08","2406600","2422500"
"29VzH8XvXlCCoWcmCDFRNg7m6Ploj136rlAYyqfeWE7qUvyMypnqcgzsSRZiFZGl","55.43","600","Interactive","2","8","98.27","78.57","847800","1357800"
"bk5mIeEQm1gAU7AG/aN3ie57723dCNUrPEv/dbCHMjfubhAddMVnyHmM+sJphpu+","0.03","1600","Unknown","4","32","0.06","0.06","1546800","1547100"
"n/MFj+Z9Ad4XAMp7+5qsjh+03t1mPenCB8/lwzcYrvGF0XFOrb1EyJi2lS7lDTpt","14.92","600","Unknown","2","8","43.17","43.17","2212800","2213100"
"Vu6rAbDn66Ph3Fyew1ZTgOs6wV/8BZ6kV9bN/CEp9+BOsHbEhXdpsJqMPuB4yX/R","62.42","2400","Unknown","8","32","98.47","98.47","1519200","1521000"
"ekzZx68IxWUo/37Yh+kWCW4ZFXoAw+KxyZ7B+5a8UttlGdaAS4YWwO8/gT59sLrf","0.84","1600","Unknown","4","32","2.3","2.3","2496600","2496900"
"737CbeLxMZjv/BBpInwXJGXmRzg3hNQoKb0Ctqe7K+c+VrHxki9kTtRQmfUS2mhM","0.04","1600","Unknown","4","32","0.1","0.1","2273100","2274000"
"vGFiIzh4XSYcnx6Zpcn+XMNc61KlAVLlMAvLSNn7PiFFg5895cS7sVhovbrU1fbI","0.26","1600","Unknown","4","32","8.93","8.93","1125000","1126500"
"Ly5UyG4LsgitKnkS9vKLgPk75SCRuzXykPFXhhEONu365/Q9mkEga8qmAVe/4RtH","0.04","1600","Unknown","4","32","0.08","0.08","2444700","2445000"
"g4h1KWjYI9lmDzVP3SqeMKvXUfZNNf5c/MzKnKo0L1Hblh4bBYs3qERrCtGLFkae","4.42","450","Interactive","2","2","99.08","11.24","0","2591400"
"a05NSFCQaPME1tqkcXSZty7m2iMT0+QUAdLX1LeQ96T4Jy3UvfW1E64dMj5aPHbT","0.4","500","Unknown","2","4","0.42","0.42","1843200","1843200"
"kJFfr23VZWOnaqgCGMY/YefcSfApb+oB4TrriFybtzlaSaaHBZYHHAhc0wf70CiM","9.07","1000","Unknown","4","8","29.1","29.1","195000","195000"
"/YWlTNuo+l5Q7gfMAi3pm4kofik2t0nuM5jXe+mq1IFNkcCyEYJm4wiRY4SWxtDw","3.62","500","Delay-insensitive","2","4","96.9","23.4","0","2591400"
"p2ieZhgwKUT3EMuuTppYwmaboN0GqNXWUcPxTvvJJkj2Y+wwIyauM2Vtdez14EmK","10.89","600","Unknown","2","8","41.83","41.83","338100","338400"
"FDtOmjbvkO19aI1lP6nhABI1+AUdYKw1Gb1eaDmHsP2IFLmewYexv2l/ZnfgAOoi","22.24","1600","Unknown","4","32","98.36","98.34","1611300","1630500"
"VRc+Nm7JvtCmaeGtuNR6ng7t9XUJzNqMQHpSrKwnKUr34F8kPcZeqzgut3fnCR1q","1.27","1600","Delay-insensitive","4","32","70.31","2.79","0","2591400"
"FpzMJdMf8qtHmtOG8tkLZzGwGyipMwLXrWaOB9t83llPSUltAH5YPb3pmnR4liH0","4.77","450","Delay-insensitive","2","2","76.32","8.49","0","2591400"
"dhesaVNus4d9k8Dh9J5PrBr1pZVF4403tuidn4heGKIoJsFqzHj06zwDu365PuvH","4.06","1600","Unknown","4","32","72.96","72.96","205200","207300"
"0GmvGRk+o8bTbmXjZ8roSPn+IhL46TRXnPJWoFA+OuuHBXIaM8xRP8+xYXCDmwJX","6.85","600","Unknown","2","8","32.94","32.94","1116600","1117200"
"OhjAvB4PzyL2VxQKfPcaSkx8WBPz9NsIpgwYy5MyX7fV6Cs/+KdiNcbCC8TBwMZb","76.98","1600","Unknown","4","32","95.66","95.31","770100","784200"
"8yPYOUkWMU/WB7ljVzqWpfR9CMZmV7s7Sh/smzQRgbjW5ADuBG0XupwzXxdya0zK","0.03","1600","Unknown","4","32","0.11","0.11","1443600","1443600"
"U/LPiNuPN/4Qof8IJeC+PjtnhMSV3FGQHkkkwgQWci2ZU6K1udlsuzezZ4QGyXJX","16.6","2400","Unknown","8","32","97.53","81.86","2106000","2120400"
"itTlwCZsbTijyROqyp1wdFJQOTAH0LHdJN01i2gkQL1vCdwVDh+7ex/lu2cD1r9m","9.9","600","Unknown","2","8","25.01","25.01","718500","718800"
"e3Q14OJYKWV7CJeeZMWIcTcf2HGFgUFavfPIjAdrQUa4+Yro/uU8wM0/oT5fhFeu","14.25","600","Unknown","2","8","55.27","55.27","2485500","2487900"
"W0QLYP4OnYq579QoQ141pIKntcCQDA6SSqabkoejd7FPr/roAng7uQ2FMo7byTsA","46.23","1600","Unknown","4","32","69.49","69.49","2487600","2489700"
"AbXAAHHiaDsdhahoeUFrJMIZ8leCf5U0RECM27EsR/1nhWmSIzNyDq383PsEjRie","12.11","600","Unknown","2","8","36.76","36.76","1214400","1215600"
"uxD7b2CFhTDdLsGYsYvrh5l0p1Eq7Dl/9Ng5bwSVjqTOruCFWX0s4Da0qOXfmLaa","18.59","1600","Unknown","4","32","84.18","39.1","322500","766200"
"fy9KgBmIAsSp2xd9CoM8a4kY1fVX8MZyuCATChs+vbZG3p4lymzZ8piNaOlIMo2k","51.64","500","Unknown","2","4","96.54","96.54","3900","5100"
"2gkMvmJkbrK7mI54/HLKVP9vpTyEHXHpq+frDQODHDS02/VtjRw9ZUkrhPt2wJHN","23.37","1600","Unknown","4","32","80.34","51.4","2155200","2232900"
"cPUq2b8KI/mkeCSBn858fo3w/eb1ncZWYEr9n8qNstLrXHTi5hlRlB05dKNpnCBw","3.02","1600","Unknown","4","32","24.87","24.87","1240800","1242600"
"MDVM5JZooz1gztD4JcZWm+VVM+30MJfrZiErZhh84LdkWHFjFwwxIuhBHe3SoUHh","5.2","600","Unknown","2","8","33.02","33.02","1506000","1506600"
"Wz/5nNc/zphz1h8f6omHbAiWzyHHDeCD4AS76lal1OkONj2kIqaXashWEYYVzNIq","63.48","450","Unknown","2","2","97.88","97.88","1218600","1222200"
"uODorzc7QJazDj7R/2fn1E2SWgKtVl2R6FeaDCf/qDEEmxYwqyW3EmR+VNbTKBG1","0.76","500","Unknown","2","4","1.5","1.5","2173800","2174100"
